timestamp	name	stargazers	forks	open_issues
2021-10-04T08:25:01.544675	mlpack	3820	1379	95
2021-10-04T08:25:01.544681	tensorforce	3025	513	9
2021-10-04T08:25:01.544687	catalyst	2726	342	7
2021-10-04T08:25:01.544693	singa	2366	706	37
2021-10-04T08:25:01.544699	flax	2154	264	167
2021-10-04T08:25:01.544705	coach	2044	411	87
2021-10-04T08:25:01.544713	karateclub	1411	165	0
2021-10-04T08:25:01.544720	garage	1301	237	216
2021-10-04T08:25:01.544726	lightly	1219	74	51
2021-10-04T08:25:01.544732	detecto	505	84	26
2021-10-04T08:25:01.544739	Neuraxle	450	50	147
2021-10-04T08:25:01.544745	quickvision	46	3	19
2021-10-05T08:25:20.317838	tensorflow	159545	85618	3102
2021-10-05T08:25:20.317872	keras	52764	18826	332
2021-10-05T08:25:20.317880	transformers	52081	12360	431
2021-10-05T08:25:20.317887	pytorch	51234	13994	10063
2021-10-05T08:25:20.317894	caffe	31977	18880	1173
2021-10-05T08:25:20.317901	incubator-mxnet	19681	6876	1943
2021-10-05T08:25:20.317907	Paddle	16597	4044	2822
2021-10-05T08:25:20.317916	sonnet	9013	1290	22
2021-10-05T08:25:20.317923	albumentations	8857	1129	228
2021-10-05T08:25:20.317930	tvm	7204	2195	317
2021-10-05T08:25:20.317937	trax	6494	651	83
2021-10-05T08:25:20.317943	SerpentAI	6044	710	1
2021-10-05T08:25:20.317950	chainer	5612	1374	11
2021-10-05T08:25:20.317956	mlpack	3822	1379	94
2021-10-05T08:25:20.317962	tensorforce	3026	513	9
2021-10-05T08:25:20.317968	catalyst	2727	342	6
2021-10-05T08:25:20.317975	singa	2366	706	37
2021-10-05T08:25:20.317981	flax	2155	265	167
2021-10-05T08:25:20.317987	coach	2045	411	87
2021-10-05T08:25:20.317996	karateclub	1412	165	0
2021-10-05T08:25:20.318003	garage	1301	237	216
2021-10-05T08:25:20.318009	lightly	1220	75	50
2021-10-05T08:25:20.318016	detecto	506	84	26
2021-10-05T08:25:20.318022	Neuraxle	450	50	147
2021-10-05T08:25:20.318029	quickvision	47	3	19
2021-10-06T08:24:35.130444	tensorflow	159562	85627	3101
2021-10-06T08:24:35.130476	keras	52771	18831	312
2021-10-06T08:24:35.130483	transformers	52117	12371	422
2021-10-06T08:24:35.130489	pytorch	51247	14003	10065
2021-10-06T08:24:35.130495	caffe	31978	18881	1173
2021-10-06T08:24:35.130502	incubator-mxnet	19682	6874	1944
2021-10-06T08:24:35.130508	Paddle	16603	4048	2810
2021-10-06T08:24:35.130516	sonnet	9013	1292	22
2021-10-06T08:24:35.130523	albumentations	8866	1128	228
2021-10-06T08:24:35.130529	tvm	7205	2197	315
2021-10-06T08:24:35.130535	trax	6496	652	83
2021-10-06T08:24:35.130542	SerpentAI	6044	710	1
2021-10-06T08:24:35.130548	chainer	5612	1374	11
2021-10-06T08:24:35.130553	mlpack	3824	1379	89
2021-10-06T08:24:35.130559	tensorforce	3027	513	10
2021-10-06T08:24:35.130565	catalyst	2727	342	11
2021-10-06T08:24:35.130570	singa	2366	706	37
2021-10-06T08:24:35.130576	flax	2158	265	165
2021-10-06T08:24:35.130583	coach	2045	411	87
2021-10-06T08:24:35.130591	karateclub	1412	165	0
2021-10-06T08:24:35.130597	garage	1303	237	216
2021-10-06T08:24:35.130602	lightly	1221	75	50
2021-10-06T08:24:35.130608	detecto	506	84	26
